number,location,monthly_price,house_area,house_age,walk_from_station,direction_of_house,direction_jp
287,市川市大洲,61000,22.7,18,10,3.0,南
288,市川市真間,62000,19.8,14,13,3.0,南
289,市川市真間,58000,19.8,17,7,3.0,南
290,市川市市川南,65000,26.4,11,13,3.0,南
291,市川市菅野,60000,23.0,17,14,3.0,南
292,市川市真間,58000,19.9,20,9,2.7,南東
293,市川市新田,62000,20.5,16,7,3.0,南
294,市川市新田,52000,18.0,25,13,2.7,南東
295,市川市新田,57000,21.7,20,10,3.0,南
296,市川市真間,60000,20.4,13,14,2.0,西
297,市川市新田,72000,20.7,0,2,2.3,東
